X,Y,field_1,cat,x,y,z,slope,distance,label
-599704.442066515,769876.928771185,165,325,-599704.442066514980979,769876.928771184990183,201.000000000000000,0.010129650000000,783036.615049587097019,-1
-282711.638683647,769876.928771185,166,326,-282711.638683646975551,769876.928771184990183,335.000000000000000,0.516561700000000,559399.380014980910346,-1
-8717.85910350364,769876.928771185,167,327,-8717.859103503640654,769876.928771184990183,75.000000000000000,0.000000000000000,390496.907958514755592,-1
-824699.334057509,768877.121371351,170,330,-824699.334057508967817,768877.121371350949630,176.000000000000000,0.000000000000000,962699.553018874255940,-1
-809699.674591442,768877.121371351,171,331,-809699.674591441988014,768877.121371350949630,176.000000000000000,0.000000000000000,950205.652394470293075,-1
-670702.830205895,768877.121371351,173,333,-670702.830205895006657,768877.121371350949630,258.000000000000000,0.275576400000000,838347.030004304018803,-1
-443707.983619425,768877.121371351,174,334,-443707.983619424980134,768877.121371350949630,176.000000000000000,0.000000000000000,662847.251462396234274,-1
-259712.160835679,768877.121371351,175,335,-259712.160835679009324,768877.121371350949630,278.000000000000000,0.243956200000000,545931.830589271150529,-1
38281.0738901705,768877.121371351,176,336,38281.073890170497179,768877.121371350949630,93.000000000000000,0.223062600000000,359793.748685768689029,-1
-780700.332957047,767877.313971516,180,340,-780700.332957047037780,767877.313971515977755,176.000000000000000,0.000000000000000,925690.801130548235960,-1
-275711.797599483,767877.313971516,181,341,-275711.797599482990336,767877.313971515977755,304.000000000000000,0.303911400000000,553824.419641024433076,-1
-259712.160835679,767877.313971516,182,342,-259712.160835679009324,767877.313971515977755,278.000000000000000,0.375342200000000,545087.371611897717230,-1
-159714.431061904,767877.313971516,183,343,-159714.431061904004309,767877.313971515977755,75.000000000000000,0.000000000000000,490130.200278387113940,-1
-126715.180236558,767877.313971516,184,344,-126715.180236557993339,767877.313971515977755,75.000000000000000,0.000000000000000,474011.526550795882940,-1
-72716.4061587198,767877.313971516,185,345,-72716.406158719793893,767877.313971515977755,75.000000000000000,0.000000000000000,433182.034115557966288,-1
-23717.5185695699,767877.313971516,186,346,-23717.518569569900137,767877.313971515977755,75.000000000000000,0.000000000000000,398851.909766694065183,-1
-706702.012924454,766877.506571681,189,349,-706702.012924453942105,766877.506571681005880,229.000000000000000,0.590623800000000,865344.299913272727281,-1
-493706.848506313,766877.506571681,190,350,-493706.848506312991958,766877.506571681005880,244.000000000000000,0.093387310000000,698304.242002092883922,-1
435272.061092058,766877.506571681,193,353,435272.061092058022041,766877.506571681005880,152.000000000000000,0.458992200000000,79815.671835496526910,-1
-652703.238846615,765877.699171847,194,354,-652703.238846614956856,765877.699171846965328,238.000000000000000,0.123228900000000,822543.659079850534908,-1
-512706.41716333,765877.699171847,195,355,-512706.417163330013864,765877.699171846965328,239.000000000000000,0.109093100000000,712082.554296475369483,-1
-260712.138133417,765877.699171847,196,356,-260712.138133417000063,765877.699171846965328,278.000000000000000,0.385023300000000,543938.118686329573393,-1
-175714.067825708,765877.699171847,197,357,-175714.067825708014425,765877.699171846965328,75.000000000000000,0.000000000000000,496371.346356843365356,-1
-104715.679686328,765877.699171847,198,358,-104715.679686328003299,765877.699171846965328,75.000000000000000,0.000000000000000,455753.684456854534801,-1
109279.462029551,765877.699171847,199,359,109279.462029550995794,765877.699171846965328,304.000000000000000,0.607120900000000,312427.941719032998662,-1
-806699.742698229,764877.891772012,201,361,-806699.742698229034431,764877.891772011993453,176.000000000000000,0.000000000000000,945488.089720069547184,-1
-504706.598781428,764877.891772012,202,362,-504706.598781428008806,764877.891772011993453,244.000000000000000,0.020259300000000,705329.563672551303171,-1
-337710.390059224,764877.891772012,203,363,-337710.390059223980643,764877.891772011993453,330.000000000000000,0.145024800000000,588226.253645586548373,-1
-327710.617081846,764877.891772012,204,364,-327710.617081845994107,764877.891772011993453,363.000000000000000,0.174859200000000,581987.462335456744768,-1
-150714.635382264,764877.891772012,205,365,-150714.635382264008513,764877.891772011993453,75.000000000000000,0.000000000000000,483182.888869515270926,-1
486270.903276683,764877.891772012,208,368,486270.903276683005970,764877.891772011993453,77.000000000000000,0.619770900000000,31580.355894850043114,-1
-757700.855109079,763878.084372177,209,369,-757700.855109079042450,763878.084372177021578,176.000000000000000,0.000000000000000,904575.097853034967557,-1
-547705.622584151,763878.084372177,210,370,-547705.622584150987677,763878.084372177021578,223.000000000000000,0.269134900000000,737976.833090992411599,-1
-388709.232243849,763878.084372177,211,371,-388709.232243849022780,763878.084372177021578,181.000000000000000,0.339744600000000,620839.212608602712862,-1
-371709.618182307,763878.084372177,212,372,-371709.618182306992821,763878.084372177021578,248.000000000000000,0.203840500000000,609438.412527555716224,-1
-144714.771595838,763878.084372177,213,373,-144714.771595838014036,763878.084372177021578,75.000000000000000,0.000000000000000,479484.830621053697541,-1
-529706.031224872,762878.276972343,215,375,-529706.031224871985614,762878.276972342981026,261.000000000000000,0.109093100000000,723285.229761856258847,-1
-489706.939315362,762878.276972343,216,376,-489706.939315362018533,762878.276972342981026,247.000000000000000,0.079121650000000,692661.020892183179967,-1
-439708.074428474,762878.276972343,217,377,-439708.074428474006709,762878.276972342981026,176.000000000000000,0.000000000000000,655802.023010783130303,-1
-364709.777098143,762878.276972343,218,378,-364709.777098143007606,762878.276972342981026,261.000000000000000,0.179196000000000,604066.530280317645520,-1
-352710.04952529,762878.276972343,219,379,-352710.049525289970916,762878.276972342981026,299.000000000000000,0.226497900000000,596247.883302150527015,-1
